Date of trade	Currency	Purchase price	Selling price	ProfitSat May 04 2019	BTCUSDT	5632.09000000	5750.5	11840.999999999985%
Sat May 04 2019	BTCUSDT	5632.09000000	5750.5	11840.999999999985%
Thu May 09 2019	BTCUSDT	5941.64000000	6055.51	11386.999999999989%
Thu May 09 2019	BTCUSDT	5941.64000000	6055.51	11386.999999999989%
Sat May 11 2019	BTCUSDT	6708.02000000	6802	9397.999999999956%
Sat May 11 2019	BTCUSDT	6850.39000000	6954	10360.999999999965%
Sun May 12 2019	BTCUSDT	7158.47000000	7299.98	14150.999999999929%
Sun May 12 2019	BTCUSDT	7230.36000000	7354.28	12392.000000000011%
Mon May 13 2019	BTCUSDT	7322.64000000	7571.83	24918.999999999956%
Mon May 13 2019	BTCUSDT	7774.19000000	7883.95	10976.000000000022%
Mon May 13 2019	BTCUSDT	7797.32000000	7886.5	8918.000000000022%
Tue May 14 2019	BTCUSDT	7885.99000000	7976.93	9094.000000000047%
Tue May 14 2019	BTCUSDT	7981.79000000	8090	10821%
Tue May 14 2019	BTCUSDT	7994.21000000	8181.02	18681.000000000033%
Wed May 15 2019	BTCUSDT	7734.28000000	7863.26	12898.000000000047%
Wed May 15 2019	BTCUSDT	7980.26000000	8099.98	11971.999999999942%
Thu May 16 2019	BTCUSDT	8170.82000000	8242.8	7197.999999999954%
Fri May 17 2019	BTCUSDT	7742.26000000	7875.28	13301.999999999953%
Sun May 19 2019	BTCUSDT	7316.55000000	7726.47	40992.000000000015%
Sun May 19 2019	BTCUSDT	7810.20000000	7993.99	18379%
Mon May 20 2019	BTCUSDT	7615.66000000	7766.22	15056.000000000047%
Mon May 20 2019	BTCUSDT	7743.49000000	7816.03	7254%
Thu May 23 2019	BTCUSDT	7641.96000000	7756.19	11422.999999999953%
Sun May 26 2019	BTCUSDT	8310.00000000	8480.02	17002.000000000044%
Mon May 27 2019	BTCUSDT	8502.12000000	8691	18887.999999999916%
Mon May 27 2019	BTCUSDT	8657.62000000	8751.01	9338.999999999929%
